ma_length,key_value,adaptive_atr_mult,tp1_rr_long,tp1_percent,return,sharpe,max_dd,win_rate,trades,profit_factor
150,2.0,2.0,0.5,25,20.8750617441515,1.019375113950775,-13.38178888716518,66.12903225806451,62,2.05598579422346
250,2.5,2.0,1.0,25,20.87115112681802,0.8940509652350977,-7.673142240422671,65.3061224489796,49,2.3837867864910565
150,3.0,2.0,0.5,45,20.143686126735226,1.1311004480524331,-8.455563817364764,63.1578947368421,57,1.7339836677719749
250,2.5,2.0,1.0,35,19.905547529521463,0.8742521506878213,-7.701678438254877,65.3061224489796,49,2.3837867864910565
250,2.5,2.0,1.0,45,19.39995777674434,0.8637945937307935,-7.71665237220065,65.3061224489796,49,2.3837867864910565
200,2.5,2.0,1.0,35,19.342540740101484,0.8441421181872774,-8.214955218230834,64.70588235294117,51,2.275432377175543
200,2.5,2.0,1.0,45,18.993880626377706,0.8433273874889582,-7.743445634488277,64.70588235294117,51,2.275432377175543
200,2.5,2.0,1.0,25,18.981248579945152,0.8195438168987084,-8.496658505523612,64.70588235294117,51,2.275432377175543
100,1.5,2.0,0.5,35,18.64223663066754,0.8780614688110701,-15.22881313353599,64.70588235294117,68,2.0083634010465596
150,3.0,2.0,0.5,35,18.589744322124044,1.0223895770416747,-9.016097090828145,63.1578947368421,57,1.7339836677719749
150,3.0,2.0,0.5,25,16.635936645361763,0.8955778697238179,-9.653347085855401,63.1578947368421,57,1.7339836677719749
100,1.5,2.0,0.5,25,16.50970890570068,0.7739350145483543,-16.223448295639653,64.70588235294117,68,2.0083634010465596
150,1.5,1.5,0.5,45,16.229779942090772,0.890481359488471,-12.68590055862603,60.9375,64,2.005501946443368
250,1.5,1.5,0.5,45,16.032986522759074,0.8773940444408833,-12.306314838267996,63.33333333333333,60,2.3656555579301
250,1.5,1.5,0.5,35,15.440092973587616,0.842318097255855,-12.341876423118602,63.33333333333333,60,2.3656555579301
150,1.5,1.5,0.5,35,15.33684259300675,0.8467619725020703,-12.587645908421463,60.9375,64,2.005501946443368
200,3.0,2.0,0.5,45,15.078986588060669,0.8724706523630318,-7.77499699036408,62.96296296296296,54,1.7522639349813074
250,1.5,1.5,0.5,25,14.952985510056113,0.809897833074886,-12.389691180594564,63.33333333333333,60,2.3656555579301
250,3.0,2.0,0.5,45,14.606784124566218,0.8639803410647063,-11.31209062182944,63.46153846153846,52,1.8278796402298862
150,1.5,1.5,0.5,25,14.301662572132717,0.7841152750910794,-12.691540522629996,60.9375,64,2.005501946443368
250,3.0,2.0,0.5,35,14.26852451193892,0.8205005236845971,-11.630500775242103,63.46153846153846,52,1.8278796402298862
200,3.0,2.0,0.5,35,13.756714303826504,0.7826493195255945,-8.42101577475779,62.96296296296296,54,1.7522639349813074
150,3.0,2.0,1.0,45,13.724320713324396,0.6524988923413175,-10.730894237264554,60.86956521739131,46,1.5389144779047566
250,3.0,2.0,1.0,25,13.436865036878261,0.6457168070166773,-8.288600662655499,62.7906976744186,43,1.713503309991314
250,3.0,2.0,0.5,25,13.288301687737587,0.7450098073070814,-12.187668179257315,63.46153846153846,52,1.8278796402298862
150,3.0,2.0,1.0,35,13.173638882910598,0.6260210319757687,-10.630109004199173,60.86956521739131,46,1.5389144779047566
150,3.0,2.0,1.0,25,12.891599898077802,0.607301075007393,-10.969861135747783,60.86956521739131,46,1.5389144779047566
250,3.0,2.0,1.0,35,12.810363640577016,0.6268595669943217,-9.037102097465377,62.7906976744186,43,1.713503309991314
150,1.5,1.0,1.0,25,12.618218162050562,1.2083175800137511,-3.6850618367232135,57.377049180327866,61,2.3523524530493978
150,1.5,1.0,1.0,45,12.618218162050562,1.2083175800137511,-3.6850618367232135,57.377049180327866,61,2.3523524530493978
150,1.5,1.0,1.0,35,12.618218162050562,1.2083175800137511,-3.6850618367232135,57.377049180327866,61,2.3523524530493978
250,1.5,1.5,1.0,45,12.512712923093003,0.6847966278500165,-12.144295974363894,56.896551724137936,58,2.3111656467534516
150,1.5,1.0,0.5,35,12.373964629832644,1.1854631144173198,-3.6925207857811837,62.121212121212125,66,2.2724152483712214
150,1.5,1.0,0.5,45,12.373964629832644,1.1854631144173198,-3.6925207857811837,62.121212121212125,66,2.2724152483712214
150,1.5,1.0,0.5,25,12.373964629832644,1.1854631144173198,-3.6925207857811837,62.121212121212125,66,2.2724152483712214
250,3.0,2.0,1.0,45,12.37212800481957,0.6141301292386394,-9.554095510582172,62.7906976744186,43,1.713503309991314
200,3.0,2.0,1.0,25,12.283494042517523,0.587565623129203,-9.256695365278933,62.22222222222222,45,1.6496558156721592
200,3.0,2.0,0.5,25,12.270648294346428,0.6838671244358046,-9.097021060279609,62.96296296296296,54,1.7522639349813074
200,3.0,2.0,1.0,45,12.243252041861414,0.6006109767663574,-9.602889793573022,62.22222222222222,45,1.6496558156721592
100,2.0,2.0,0.5,45,12.159541255083404,0.6251602264873517,-12.964690436136895,62.5,64,1.6820529180887347
200,3.0,2.0,1.0,35,12.130143956656338,0.5898122222568484,-8.967145404213717,62.22222222222222,45,1.6496558156721592
250,1.5,1.5,1.0,35,11.960997741383709,0.6519893511204906,-12.179115674982766,56.896551724137936,58,2.3111656467534516
250,1.5,1.5,1.0,25,11.601107312539808,0.6295512871762918,-12.226299866616719,56.896551724137936,58,2.3111656467534516
100,2.0,2.0,0.5,35,10.81587639382058,0.5458498721081286,-13.643230418095609,62.5,64,1.6820529180887347
150,1.5,1.5,1.0,45,10.726673919362801,0.5899202171248065,-12.462227336048349,56.666666666666664,60,2.055117275894676
100,1.5,2.0,1.5,45,10.396884320737572,0.45349041861159356,-20.507217035117463,58.92857142857143,56,1.9357627665564743
250,1.5,1.0,1.5,45,10.339748267878932,1.0487253458290506,-4.5171557499921855,53.44827586206896,58,2.6150650824238255
250,1.5,1.0,1.5,35,10.339748267878932,1.0487253458290506,-4.5171557499921855,53.44827586206896,58,2.6150650824238255
250,1.5,1.0,1.5,25,10.339748267878932,1.0487253458290506,-4.5171557499921855,53.44827586206896,58,2.6150650824238255
150,1.5,1.5,1.0,35,10.335572421346443,0.5653596082854181,-12.501319277468536,56.666666666666664,60,2.055117275894676
100,1.5,2.0,1.5,35,10.300765568753887,0.44666781944315626,-20.55983129870046,58.92857142857143,56,1.9357627665564743
100,1.5,2.0,1.5,25,10.202896108609858,0.43929898478906,-20.61274594842105,58.92857142857143,56,1.9357627665564743
250,1.5,1.0,1.0,35,10.099699910631461,1.0271946008731858,-4.5171557499921855,58.620689655172406,58,2.657703154500049
