swing_high_bars,tp1_rr,tp1_pct,bull_risk_reduction,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,profit_factor,avg_bars_held,bear_trades,bull_trades,bear_win_rate,bull_win_rate
5,1.0,50,0.5,8,4,4,50.0,-250.0,-31.25,0.5,32.5,0,8,0,50.0
7,1.0,50,0.5,8,4,4,50.0,-250.0,-31.25,0.5,32.5,0,8,0,50.0
10,1.0,50,0.75,6,3,3,50.0,-281.25,-46.875,0.5,58.0,0,6,0,50.0
3,1.0,50,0.75,8,4,4,50.0,-375.0,-46.875,0.5,32.5,0,8,0,50.0
5,1.0,50,0.75,8,4,4,50.0,-375.0,-46.875,0.5,32.5,0,8,0,50.0
7,1.0,50,0.75,8,4,4,50.0,-375.0,-46.875,0.5,32.5,0,8,0,50.0
10,0.5,80,0.25,6,3,3,50.0,-112.49999999999976,-18.74999999999996,0.40000000000000135,56.666666666666664,0,6,0,50.0
10,0.5,80,0.5,6,3,3,50.0,-224.99999999999952,-37.49999999999992,0.40000000000000135,56.666666666666664,0,6,0,50.0
10,0.5,80,0.75,6,3,3,50.0,-337.49999999999926,-56.24999999999988,0.4000000000000013,56.666666666666664,0,6,0,50.0
3,0.5,80,0.25,8,4,4,50.0,-149.99999999999983,-18.74999999999998,0.4000000000000007,31.375,0,8,0,50.0
5,0.5,80,0.25,8,4,4,50.0,-149.99999999999983,-18.74999999999998,0.4000000000000007,31.375,0,8,0,50.0
7,0.5,80,0.25,8,4,4,50.0,-149.99999999999983,-18.74999999999998,0.4000000000000007,31.375,0,8,0,50.0
3,0.5,80,0.5,8,4,4,50.0,-299.99999999999966,-37.49999999999996,0.4000000000000007,31.375,0,8,0,50.0
5,0.5,80,0.5,8,4,4,50.0,-299.99999999999966,-37.49999999999996,0.4000000000000007,31.375,0,8,0,50.0
7,0.5,80,0.5,8,4,4,50.0,-299.99999999999966,-37.49999999999996,0.4000000000000007,31.375,0,8,0,50.0
3,0.5,80,0.75,8,4,4,50.0,-449.9999999999995,-56.249999999999936,0.4000000000000007,31.375,0,8,0,50.0
5,0.5,80,0.75,8,4,4,50.0,-449.9999999999995,-56.249999999999936,0.4000000000000007,31.375,0,8,0,50.0
7,0.5,80,0.75,8,4,4,50.0,-449.9999999999995,-56.249999999999936,0.4000000000000007,31.375,0,8,0,50.0
10,0.5,70,0.25,6,3,3,50.0,-121.87499999999977,-20.31249999999996,0.35000000000000114,56.666666666666664,0,6,0,50.0
10,0.5,70,0.5,6,3,3,50.0,-243.74999999999955,-40.62499999999992,0.35000000000000114,56.666666666666664,0,6,0,50.0
10,0.5,70,0.75,6,3,3,50.0,-365.6249999999994,-60.93749999999989,0.3500000000000011,56.666666666666664,0,6,0,50.0
3,0.5,70,0.25,8,4,4,50.0,-162.49999999999986,-20.312499999999982,0.3500000000000006,31.375,0,8,0,50.0
5,0.5,70,0.25,8,4,4,50.0,-162.49999999999986,-20.312499999999982,0.3500000000000006,31.375,0,8,0,50.0
7,0.5,70,0.25,8,4,4,50.0,-162.49999999999986,-20.312499999999982,0.3500000000000006,31.375,0,8,0,50.0
3,0.5,70,0.5,8,4,4,50.0,-324.9999999999997,-40.624999999999964,0.3500000000000006,31.375,0,8,0,50.0
5,0.5,70,0.5,8,4,4,50.0,-324.9999999999997,-40.624999999999964,0.3500000000000006,31.375,0,8,0,50.0
7,0.5,70,0.5,8,4,4,50.0,-324.9999999999997,-40.624999999999964,0.3500000000000006,31.375,0,8,0,50.0
3,0.5,70,0.75,8,4,4,50.0,-487.4999999999996,-60.93749999999995,0.35000000000000053,31.375,0,8,0,50.0
5,0.5,70,0.75,8,4,4,50.0,-487.4999999999996,-60.93749999999995,0.35000000000000053,31.375,0,8,0,50.0
7,0.5,70,0.75,8,4,4,50.0,-487.4999999999996,-60.93749999999995,0.35000000000000053,31.375,0,8,0,50.0
10,0.5,50,0.25,6,3,3,50.0,-140.62499999999983,-23.43749999999997,0.25000000000000083,56.666666666666664,0,6,0,50.0
10,0.5,50,0.5,6,3,3,50.0,-281.24999999999966,-46.87499999999994,0.25000000000000083,56.666666666666664,0,6,0,50.0
10,0.5,50,0.75,6,3,3,50.0,-421.87499999999955,-70.31249999999993,0.25000000000000083,56.666666666666664,0,6,0,50.0
3,0.5,50,0.25,8,4,4,50.0,-187.4999999999999,-23.437499999999986,0.2500000000000004,31.375,0,8,0,50.0
5,0.5,50,0.25,8,4,4,50.0,-187.4999999999999,-23.437499999999986,0.2500000000000004,31.375,0,8,0,50.0
7,0.5,50,0.25,8,4,4,50.0,-187.4999999999999,-23.437499999999986,0.2500000000000004,31.375,0,8,0,50.0
3,0.5,50,0.5,8,4,4,50.0,-374.9999999999998,-46.87499999999997,0.2500000000000004,31.375,0,8,0,50.0
5,0.5,50,0.5,8,4,4,50.0,-374.9999999999998,-46.87499999999997,0.2500000000000004,31.375,0,8,0,50.0
7,0.5,50,0.5,8,4,4,50.0,-374.9999999999998,-46.87499999999997,0.2500000000000004,31.375,0,8,0,50.0
3,0.5,50,0.75,8,4,4,50.0,-562.4999999999998,-70.31249999999997,0.2500000000000004,31.375,0,8,0,50.0
5,0.5,50,0.75,8,4,4,50.0,-562.4999999999998,-70.31249999999997,0.2500000000000004,31.375,0,8,0,50.0
7,0.5,50,0.75,8,4,4,50.0,-562.4999999999998,-70.31249999999997,0.2500000000000004,31.375,0,8,0,50.0
